code,Age,Sexe,indigène,problèmes de santé,le travail à la maison,préscolaire,Travail,interne / externe,Qualification de la mère, Qualification Du père,Profession de la mère,Profession du père,Divorcé,Mort,Revenu familial,aide aux devoirs,Specialté,Nombre de répitition,Score primaire,Score collégial,Score actuel,score en mathématiques,score en langue arabe,score en première langue,Public / Privé,Zone,Nombre d'enseignants,Electricité,Eau,pc,Livres,État civil,Origine,motivation,Style d'apprentissage,Satisfaction du cours,انقطع | مثعثر دراسيا|جيد|
236,17,M,non,physique,oui,non,oui,interne,secondaire,non,médecin,enseignant,oui,oui,< 3000 MAD,non,autre,2,6.93,9.75,5.69,5.64,16.23,13.1,Privé,rural,3,oui,oui,oui,non,célibataire,rural,non,Visuel,partiellement,مثعثر دراسيا
237,7,F,oui,psychique,oui,oui,oui,externe,primaire,secondaire,ménagère,médecin,oui,oui,> 6000 MAD,oui,scientifique,1,3.89,9.6,14.45,15.87,10.43,18.0,Privé,rural,10,oui,oui,oui,non,marié,rural,non,Kinesthésique,partiellement,مثعثر دراسيا
238,15,M,non,psychique,non,oui,oui,interne,primaire,universitaire,ménagère,enseignant,oui,oui,< 3000 MAD,oui,scientifique,0,5.93,5.86,7.92,8.03,9.35,10.67,Public,urbain,6,oui,oui,non,non,célibataire,urbain,oui,Normal,non,مثعثر دراسيا
239,7,F,non,Non,non,non,non,interne,non,non,médecin,autre,non,oui,3000-6000 MAD,oui,autre,1,3.75,16.57,15.71,14.61,16.25,7.5,Public,urbain,4,oui,oui,oui,non,marié,urbain,non,Auditif,partiellement,جيد
240,12,M,non,Non,oui,oui,non,externe,secondaire,primaire,ménagère,médecin,non,oui,< 3000 MAD,non,autre,0,8.0,9.94,17.59,11.29,12.5,18.0,Privé,urbain,6,oui,oui,oui,non,célibataire,urbain,oui,Normal,non,انقطعت
241,6,M,oui,physique,non,non,oui,externe,universitaire,primaire,enseignante,enseignant,non,non,> 6000 MAD,non,littéraire,0,4.18,13.94,12.99,18.0,5.18,5.59,Public,urbain,10,oui,oui,oui,oui,marié,urbain,non,Visuel,oui,مثعثر دراسيا
242,14,F,non,physique,oui,non,non,externe,universitaire,non,ménagère,médecin,non,non,3000-6000 MAD,oui,autre,1,6.09,14.11,7.46,13.31,8.45,6.42,Public,rural,7,oui,oui,oui,non,célibataire,rural,non,Auditif,partiellement,مثعثر دراسيا
243,6,M,non,physique,oui,oui,non,interne,universitaire,non,ménagère,médecin,oui,non,< 3000 MAD,oui,autre,2,3.6,17.24,6.03,8.0,10.82,5.25,Public,urbain,9,oui,oui,oui,non,marié,urbain,oui,Kinesthésique,partiellement,جيد
244,6,M,oui,Non,oui,oui,oui,interne,non,non,médecin,médecin,non,non,< 3000 MAD,oui,autre,1,6.69,7.01,12.61,4.58,9.93,7.8,Public,rural,6,oui,oui,non,non,célibataire,rural,non,Normal,partiellement,جيد
245,14,M,non,psychique,oui,non,non,interne,universitaire,secondaire,ménagère,ouvrier,oui,non,> 6000 MAD,non,scientifique,3,5.32,17.74,15.38,13.33,12.03,7.16,Privé,rural,10,oui,oui,non,non,marié,rural,non,Normal,non,مثعثر دراسيا
246,18,M,oui,Non,non,non,non,interne,universitaire,non,enseignante,ouvrier,oui,oui,3000-6000 MAD,non,scientifique,1,4.15,9.83,10.71,12.42,13.49,5.38,Privé,rural,5,oui,oui,non,oui,célibataire,rural,non,Visuel,oui,انقطعت
247,12,F,oui,physique,oui,oui,non,interne,universitaire,universitaire,autre,médecin,oui,non,> 6000 MAD,oui,autre,0,5.4,7.72,16.43,8.33,9.64,10.2,Privé,urbain,10,oui,oui,non,non,célibataire,urbain,non,Normal,partiellement,جيد
248,12,F,oui,physique,oui,non,non,externe,primaire,universitaire,médecin,enseignant,non,non,3000-6000 MAD,non,scientifique,0,8.0,11.92,16.98,7.47,16.85,10.05,Public,urbain,3,oui,oui,non,non,célibataire,urbain,oui,Visuel,oui,جيد
249,10,M,non,psychique,oui,non,oui,interne,secondaire,secondaire,autre,enseignant,non,non,> 6000 MAD,oui,littéraire,0,6.28,7.09,11.74,9.38,18.0,5.57,Privé,rural,5,oui,oui,non,oui,célibataire,rural,non,Normal,oui,مثعثر دراسيا
250,16,M,oui,Non,oui,oui,oui,externe,non,non,autre,autre,oui,oui,3000-6000 MAD,oui,autre,0,5.44,12.23,8.75,6.59,11.33,4.2,Public,rural,1,oui,oui,oui,non,célibataire,rural,non,Auditif,partiellement,جيد
251,11,M,oui,physique,non,non,non,externe,primaire,non,médecin,médecin,non,oui,3000-6000 MAD,oui,autre,0,8.0,14.26,11.71,15.79,9.57,12.99,Privé,rural,5,oui,oui,non,oui,célibataire,rural,non,Kinesthésique,non,انقطعت
252,8,F,oui,psychique,non,non,non,externe,non,primaire,enseignante,ouvrier,non,oui,< 3000 MAD,non,littéraire,0,8.0,5.77,15.45,17.6,18.0,14.11,Privé,urbain,8,oui,oui,non,oui,marié,urbain,oui,Kinesthésique,non,انقطعت
253,7,M,oui,Non,non,oui,non,interne,secondaire,non,ménagère,autre,non,non,> 6000 MAD,oui,autre,0,5.86,7.81,5.05,13.48,16.41,17.25,Privé,rural,7,oui,oui,oui,oui,marié,rural,oui,Normal,non,انقطعت
254,8,M,non,psychique,non,non,oui,interne,secondaire,non,ménagère,autre,oui,non,< 3000 MAD,oui,autre,3,8.0,16.36,7.42,11.37,13.38,18.0,Privé,urbain,7,oui,oui,non,non,célibataire,urbain,oui,Auditif,partiellement,مثعثر دراسيا
255,7,M,oui,psychique,oui,oui,non,interne,primaire,non,médecin,ouvrier,non,non,> 6000 MAD,oui,scientifique,3,5.67,4.63,11.32,15.02,8.27,4.1,Public,rural,7,oui,oui,non,non,marié,rural,non,Auditif,oui,جيد
256,10,F,oui,physique,non,oui,non,interne,universitaire,primaire,médecin,ouvrier,non,oui,> 6000 MAD,non,scientifique,0,5.34,13.42,7.09,10.12,16.35,12.47,Privé,urbain,9,oui,oui,oui,oui,célibataire,urbain,non,Visuel,partiellement,انقطعت
257,11,F,oui,physique,oui,oui,non,interne,secondaire,universitaire,médecin,enseignant,oui,oui,< 3000 MAD,oui,scientifique,3,4.64,7.39,12.02,16.65,18.0,9.98,Privé,urbain,10,oui,oui,non,non,marié,urbain,oui,Normal,oui,انقطعت
258,17,M,non,Non,oui,non,non,externe,universitaire,secondaire,médecin,ouvrier,oui,non,< 3000 MAD,non,scientifique,0,8.0,9.93,13.39,18.0,6.85,14.74,Privé,rural,9,oui,oui,oui,non,célibataire,rural,non,Kinesthésique,partiellement,مثعثر دراسيا
259,15,M,oui,physique,non,non,oui,interne,primaire,primaire,enseignante,médecin,non,oui,< 3000 MAD,oui,littéraire,3,3.61,16.56,14.97,4.53,18.0,15.59,Public,rural,1,oui,oui,oui,non,marié,rural,non,Visuel,non,انقطعت
260,6,M,oui,physique,non,oui,non,externe,secondaire,non,autre,médecin,non,non,3000-6000 MAD,non,autre,2,7.3,8.3,8.94,11.35,11.31,18.0,Privé,urbain,3,oui,oui,non,non,marié,urbain,oui,Normal,partiellement,جيد
261,7,M,non,Non,non,oui,non,interne,secondaire,universitaire,autre,enseignant,oui,oui,< 3000 MAD,non,autre,2,6.87,7.86,12.39,6.77,9.39,14.25,Public,urbain,8,oui,oui,oui,non,célibataire,urbain,non,Visuel,partiellement,انقطعت
262,17,F,oui,Non,oui,oui,non,externe,secondaire,secondaire,médecin,enseignant,non,oui,< 3000 MAD,non,autre,3,3.44,6.13,14.15,7.6,15.36,15.43,Public,urbain,6,oui,oui,oui,oui,célibataire,urbain,non,Kinesthésique,oui,مثعثر دراسيا
263,11,F,non,physique,non,oui,oui,externe,secondaire,secondaire,médecin,autre,oui,non,< 3000 MAD,non,autre,3,6.4,9.06,8.39,10.89,18.0,7.92,Privé,urbain,2,oui,oui,oui,oui,marié,urbain,oui,Visuel,non,جيد
264,11,F,non,Non,oui,oui,non,externe,secondaire,non,médecin,enseignant,non,oui,> 6000 MAD,non,littéraire,2,6.06,11.92,12.48,15.65,14.07,16.9,Privé,rural,3,oui,oui,oui,non,marié,rural,oui,Kinesthésique,non,جيد
265,15,M,oui,psychique,oui,oui,non,externe,universitaire,primaire,ménagère,enseignant,oui,oui,< 3000 MAD,non,autre,2,4.56,5.7,17.44,7.65,11.22,11.8,Public,rural,9,oui,oui,oui,oui,célibataire,rural,non,Auditif,non,انقطعت
266,11,F,oui,psychique,oui,oui,oui,externe,primaire,non,enseignante,autre,non,non,3000-6000 MAD,non,littéraire,2,4.17,12.66,18.0,9.65,18.0,18.0,Privé,urbain,7,oui,oui,oui,oui,célibataire,urbain,non,Auditif,oui,مثعثر دراسيا
267,9,F,oui,psychique,oui,non,non,interne,primaire,secondaire,ménagère,ouvrier,non,non,3000-6000 MAD,oui,littéraire,1,7.62,8.04,15.57,9.13,9.84,4.4,Public,rural,10,oui,oui,oui,non,célibataire,rural,oui,Visuel,partiellement,جيد
268,14,M,non,psychique,non,oui,non,externe,non,primaire,médecin,enseignant,oui,oui,< 3000 MAD,oui,autre,2,6.02,8.47,10.03,11.87,12.52,11.31,Public,rural,7,oui,oui,oui,oui,marié,rural,non,Visuel,partiellement,مثعثر دراسيا
269,8,F,non,psychique,oui,non,oui,externe,secondaire,universitaire,ménagère,médecin,non,non,> 6000 MAD,non,autre,0,3.62,14.46,17.71,11.7,14.37,8.83,Public,urbain,1,oui,oui,oui,oui,marié,urbain,non,Visuel,partiellement,جيد
270,8,F,oui,Non,non,non,oui,externe,universitaire,primaire,ménagère,autre,non,oui,> 6000 MAD,non,littéraire,1,4.92,10.89,11.35,13.84,13.25,12.43,Public,rural,5,oui,oui,oui,non,marié,rural,oui,Auditif,partiellement,انقطعت
271,7,F,oui,psychique,non,non,non,externe,universitaire,non,enseignante,médecin,non,non,< 3000 MAD,oui,autre,1,8.0,12.3,12.12,16.16,10.02,8.95,Privé,urbain,1,oui,oui,oui,oui,célibataire,urbain,non,Kinesthésique,oui,جيد
272,13,M,non,physique,oui,oui,oui,interne,primaire,primaire,enseignante,enseignant,oui,non,3000-6000 MAD,oui,littéraire,3,6.28,12.1,11.73,5.62,16.1,15.76,Public,urbain,5,oui,oui,oui,oui,marié,urbain,oui,Normal,non,مثعثر دراسيا
273,12,M,non,physique,non,oui,non,externe,secondaire,universitaire,médecin,autre,oui,oui,> 6000 MAD,non,scientifique,1,5.64,16.47,9.44,13.53,17.5,13.45,Privé,rural,1,oui,oui,non,oui,marié,rural,non,Kinesthésique,non,انقطعت
274,12,M,non,physique,oui,non,oui,interne,secondaire,primaire,ménagère,ouvrier,non,non,3000-6000 MAD,non,scientifique,0,4.82,17.47,7.94,14.91,15.41,8.74,Privé,rural,8,oui,oui,non,oui,célibataire,rural,non,Kinesthésique,partiellement,جيد
275,16,M,oui,Non,non,oui,non,externe,secondaire,universitaire,autre,médecin,non,non,> 6000 MAD,oui,autre,0,3.96,9.3,10.55,9.51,4.6,10.2,Public,urbain,4,oui,oui,non,oui,célibataire,urbain,non,Kinesthésique,partiellement,مثعثر دراسيا
276,7,F,non,physique,non,oui,oui,interne,non,primaire,enseignante,autre,non,oui,< 3000 MAD,non,scientifique,0,4.25,14.82,14.92,10.48,15.96,8.12,Privé,rural,6,oui,oui,non,non,marié,rural,oui,Normal,partiellement,مثعثر دراسيا
277,11,F,non,psychique,oui,oui,oui,externe,universitaire,non,ménagère,médecin,oui,oui,< 3000 MAD,non,scientifique,3,3.82,14.97,9.18,9.5,7.75,12.16,Public,rural,7,oui,oui,oui,non,marié,rural,oui,Kinesthésique,oui,مثعثر دراسيا
278,15,M,non,physique,non,oui,non,externe,universitaire,non,enseignante,médecin,non,non,3000-6000 MAD,non,autre,0,8.0,13.92,6.8,16.11,12.96,17.73,Privé,urbain,7,oui,oui,oui,non,marié,urbain,oui,Auditif,oui,انقطعت
279,7,M,non,physique,oui,oui,non,externe,universitaire,universitaire,autre,enseignant,non,oui,< 3000 MAD,oui,scientifique,3,8.0,10.02,7.61,14.82,7.57,8.47,Public,urbain,6,oui,oui,non,non,marié,urbain,non,Kinesthésique,oui,مثعثر دراسيا
280,8,F,non,Non,oui,oui,non,externe,secondaire,primaire,ménagère,médecin,oui,non,> 6000 MAD,non,scientifique,1,4.06,10.62,15.01,10.43,8.06,15.65,Public,rural,8,oui,oui,non,oui,célibataire,rural,non,Auditif,oui,جيد
281,18,M,non,psychique,oui,non,oui,interne,universitaire,secondaire,médecin,ouvrier,non,oui,> 6000 MAD,oui,littéraire,1,6.71,16.11,16.08,7.15,14.13,17.38,Public,rural,6,oui,oui,oui,non,marié,rural,non,Auditif,partiellement,انقطعت
282,13,F,oui,psychique,non,non,non,interne,secondaire,secondaire,ménagère,médecin,oui,non,3000-6000 MAD,oui,autre,3,6.0,6.6,13.72,14.93,10.36,15.72,Public,rural,10,oui,oui,oui,non,marié,rural,non,Normal,oui,مثعثر دراسيا
283,17,M,oui,physique,oui,oui,oui,interne,non,non,enseignante,ouvrier,oui,oui,> 6000 MAD,oui,autre,0,3.67,11.23,4.62,16.6,11.94,11.94,Public,rural,7,oui,oui,non,oui,marié,rural,oui,Auditif,oui,جيد
284,13,F,non,Non,oui,oui,oui,interne,non,primaire,ménagère,enseignant,oui,non,< 3000 MAD,non,autre,3,7.35,12.82,15.52,7.33,17.99,18.0,Privé,urbain,6,oui,oui,oui,non,célibataire,urbain,oui,Visuel,partiellement,جيد
285,7,M,non,physique,non,non,oui,externe,secondaire,non,médecin,autre,oui,oui,3000-6000 MAD,oui,littéraire,2,8.0,16.4,18.0,17.77,11.25,14.57,Privé,urbain,3,oui,oui,non,oui,marié,urbain,non,Kinesthésique,partiellement,مثعثر دراسيا
286,6,F,oui,psychique,oui,non,non,externe,primaire,primaire,médecin,ouvrier,non,non,3000-6000 MAD,non,autre,2,7.52,13.3,14.31,5.95,8.44,18.0,Privé,rural,1,oui,oui,non,non,célibataire,rural,non,Visuel,partiellement,مثعثر دراسيا
287,17,M,non,Non,oui,oui,oui,externe,universitaire,universitaire,ménagère,médecin,non,oui,< 3000 MAD,non,scientifique,3,6.1,7.51,14.11,15.79,4.31,13.41,Public,rural,2,oui,oui,non,non,marié,rural,non,Visuel,partiellement,مثعثر دراسيا
288,10,M,oui,Non,non,non,non,externe,primaire,non,enseignante,médecin,non,oui,< 3000 MAD,oui,littéraire,2,8.0,16.8,10.25,12.12,16.01,14.08,Privé,urbain,2,oui,oui,non,oui,célibataire,urbain,oui,Normal,partiellement,مثعثر دراسيا
289,6,F,non,physique,non,non,non,externe,non,secondaire,autre,autre,non,oui,< 3000 MAD,non,scientifique,0,5.27,8.15,12.6,14.07,12.37,9.97,Privé,urbain,7,oui,oui,oui,non,marié,urbain,non,Visuel,non,مثعثر دراسيا
290,18,F,non,physique,oui,non,oui,interne,universitaire,non,enseignante,enseignant,oui,non,< 3000 MAD,non,littéraire,1,4.85,8.35,16.9,8.77,10.88,10.45,Public,rural,1,oui,oui,non,non,célibataire,rural,oui,Auditif,non,انقطعت
291,9,M,oui,psychique,oui,non,oui,externe,non,primaire,ménagère,enseignant,oui,non,> 6000 MAD,oui,scientifique,0,6.87,5.91,14.5,13.38,7.76,14.78,Public,urbain,9,oui,oui,oui,non,marié,urbain,non,Normal,partiellement,انقطعت
292,13,M,oui,Non,oui,non,oui,externe,universitaire,non,autre,enseignant,oui,oui,3000-6000 MAD,non,littéraire,2,5.75,17.59,4.73,11.73,6.62,10.29,Public,rural,10,oui,oui,oui,non,célibataire,rural,non,Kinesthésique,non,انقطعت
293,9,F,non,Non,oui,non,oui,externe,secondaire,non,ménagère,autre,oui,oui,< 3000 MAD,oui,scientifique,3,4.47,7.04,5.57,5.21,7.67,6.71,Public,urbain,8,oui,oui,non,non,célibataire,urbain,non,Normal,partiellement,انقطعت
294,7,M,non,psychique,non,oui,non,interne,primaire,non,ménagère,ouvrier,non,oui,< 3000 MAD,oui,autre,3,5.87,17.95,10.87,17.1,9.21,6.87,Privé,rural,7,oui,oui,oui,non,célibataire,rural,oui,Auditif,oui,مثعثر دراسيا
295,13,M,non,Non,non,oui,non,interne,non,primaire,enseignante,autre,non,non,< 3000 MAD,oui,littéraire,2,3.88,11.35,5.32,15.03,13.33,7.97,Public,urbain,1,oui,oui,non,non,célibataire,urbain,oui,Auditif,partiellement,مثعثر دراسيا
296,9,F,non,Non,non,non,non,externe,primaire,universitaire,médecin,médecin,oui,non,> 6000 MAD,oui,littéraire,0,4.94,10.36,11.77,13.94,15.72,18.0,Privé,urbain,2,oui,oui,oui,non,marié,urbain,non,Kinesthésique,non,جيد
297,8,F,non,physique,oui,non,non,interne,universitaire,primaire,médecin,ouvrier,oui,non,> 6000 MAD,oui,littéraire,2,8.0,15.65,12.31,14.77,18.0,10.2,Privé,urbain,4,oui,oui,oui,oui,célibataire,urbain,non,Visuel,non,جيد
298,18,M,oui,psychique,non,non,non,externe,universitaire,non,médecin,enseignant,non,non,3000-6000 MAD,non,scientifique,1,6.35,16.06,7.09,12.94,11.75,14.5,Public,rural,10,oui,oui,oui,non,marié,rural,oui,Normal,partiellement,مثعثر دراسيا
299,17,F,oui,Non,oui,oui,non,externe,secondaire,primaire,autre,ouvrier,oui,non,< 3000 MAD,oui,littéraire,1,5.87,17.11,16.18,6.55,14.87,6.24,Privé,urbain,6,oui,oui,non,oui,célibataire,urbain,non,Kinesthésique,oui,مثعثر دراسيا
300,7,M,oui,physique,oui,oui,non,interne,universitaire,universitaire,autre,autre,oui,oui,3000-6000 MAD,non,autre,1,6.45,8.92,17.45,9.33,12.02,16.51,Privé,urbain,2,oui,oui,oui,non,marié,urbain,oui,Kinesthésique,partiellement,جيد
301,16,F,non,Non,oui,non,non,interne,primaire,non,enseignante,autre,non,non,< 3000 MAD,non,scientifique,0,4.4,5.01,5.76,7.14,6.35,5.74,Public,rural,1,oui,oui,non,non,célibataire,rural,oui,Normal,oui,جيد
302,11,M,oui,Non,non,oui,oui,interne,secondaire,universitaire,enseignante,médecin,oui,non,> 6000 MAD,oui,littéraire,3,3.68,7.49,10.16,17.81,9.32,10.65,Public,urbain,4,oui,oui,non,oui,marié,urbain,oui,Visuel,partiellement,انقطعت
303,7,M,oui,psychique,non,non,non,interne,primaire,secondaire,médecin,autre,oui,non,< 3000 MAD,oui,littéraire,1,7.07,5.06,17.39,17.01,12.57,13.23,Public,rural,4,oui,oui,oui,non,célibataire,rural,oui,Visuel,partiellement,مثعثر دراسيا
304,17,F,oui,psychique,oui,non,non,externe,secondaire,universitaire,enseignante,ouvrier,oui,non,> 6000 MAD,non,autre,3,4.47,15.16,5.85,11.99,8.48,18.0,Privé,urbain,2,oui,oui,non,oui,célibataire,urbain,oui,Auditif,non,انقطعت
305,12,M,non,physique,non,oui,non,externe,primaire,primaire,médecin,médecin,non,non,3000-6000 MAD,oui,autre,0,4.85,14.28,17.01,13.03,4.47,11.11,Public,rural,10,oui,oui,non,non,célibataire,rural,non,Normal,non,جيد
306,6,M,oui,Non,non,oui,oui,externe,primaire,primaire,autre,enseignant,oui,non,< 3000 MAD,non,autre,3,5.62,13.18,13.39,5.53,7.16,17.76,Public,rural,3,oui,oui,non,oui,marié,rural,oui,Visuel,non,انقطعت
307,11,M,oui,psychique,oui,non,oui,interne,secondaire,secondaire,ménagère,autre,non,oui,< 3000 MAD,non,scientifique,1,6.16,6.84,13.12,14.31,8.61,16.73,Public,urbain,8,oui,oui,non,non,marié,urbain,oui,Normal,partiellement,جيد
308,13,F,oui,psychique,non,oui,non,externe,non,primaire,médecin,autre,non,non,< 3000 MAD,oui,littéraire,3,7.14,7.16,5.82,9.9,11.95,18.0,Public,urbain,9,oui,oui,oui,non,marié,urbain,non,Auditif,partiellement,جيد
309,12,M,oui,Non,oui,non,non,externe,universitaire,non,médecin,autre,oui,non,> 6000 MAD,oui,scientifique,0,4.01,18.0,7.58,12.85,6.64,11.17,Privé,urbain,7,oui,oui,oui,non,célibataire,urbain,oui,Kinesthésique,oui,جيد
310,11,F,non,Non,non,oui,oui,interne,universitaire,non,médecin,autre,oui,non,3000-6000 MAD,oui,scientifique,2,6.9,12.71,5.65,17.29,5.65,13.84,Public,rural,4,oui,oui,oui,non,marié,rural,oui,Auditif,oui,انقطعت
311,7,F,oui,psychique,non,non,oui,externe,primaire,non,autre,enseignant,oui,oui,< 3000 MAD,non,littéraire,1,4.32,11.54,5.37,10.19,15.52,16.52,Public,rural,6,oui,oui,oui,oui,célibataire,rural,non,Visuel,oui,مثعثر دراسيا
312,16,F,oui,psychique,oui,non,oui,interne,non,secondaire,ménagère,autre,non,oui,3000-6000 MAD,non,littéraire,1,4.3,11.55,15.21,9.21,17.44,14.47,Privé,rural,4,oui,oui,non,non,marié,rural,non,Auditif,oui,مثعثر دراسيا
313,9,M,oui,Non,oui,non,non,interne,non,non,autre,autre,oui,non,3000-6000 MAD,non,autre,2,7.27,17.22,8.43,17.47,7.09,7.43,Public,rural,8,oui,oui,oui,non,marié,rural,non,Auditif,partiellement,جيد
314,9,F,non,physique,non,non,non,interne,universitaire,universitaire,enseignante,médecin,oui,non,< 3000 MAD,non,autre,0,3.83,15.48,12.58,7.3,16.09,5.44,Privé,rural,6,oui,oui,oui,non,célibataire,rural,non,Visuel,non,انقطعت
315,10,F,oui,psychique,non,oui,oui,externe,universitaire,non,médecin,enseignant,oui,non,3000-6000 MAD,non,scientifique,0,3.33,14.93,8.55,16.33,17.72,4.48,Public,rural,10,oui,oui,non,oui,célibataire,rural,non,Auditif,non,جيد
316,11,M,oui,psychique,non,non,non,interne,non,non,autre,autre,oui,oui,3000-6000 MAD,non,scientifique,0,7.63,7.29,8.64,11.79,14.42,7.97,Public,urbain,4,oui,oui,non,oui,célibataire,urbain,non,Normal,non,انقطعت
317,8,M,non,physique,non,oui,oui,externe,primaire,secondaire,enseignante,autre,oui,oui,3000-6000 MAD,oui,autre,2,3.83,8.72,10.05,11.69,18.0,5.83,Public,urbain,8,oui,oui,oui,non,célibataire,urbain,non,Auditif,non,انقطعت
318,15,M,non,psychique,oui,oui,non,interne,primaire,primaire,enseignante,autre,oui,oui,3000-6000 MAD,oui,littéraire,2,7.36,11.89,5.02,6.9,5.62,6.51,Public,rural,5,oui,oui,non,non,célibataire,rural,non,Kinesthésique,non,انقطعت
319,16,F,oui,Non,non,non,non,externe,universitaire,primaire,enseignante,ouvrier,oui,non,> 6000 MAD,non,littéraire,3,5.74,12.15,15.73,15.62,12.65,9.51,Privé,urbain,8,oui,oui,oui,non,marié,urbain,non,Visuel,non,مثعثر دراسيا
320,11,M,oui,Non,non,oui,oui,externe,secondaire,secondaire,autre,enseignant,non,oui,< 3000 MAD,non,littéraire,2,5.17,10.9,14.68,17.82,4.82,15.08,Public,urbain,1,oui,oui,non,non,célibataire,urbain,non,Visuel,partiellement,مثعثر دراسيا
321,18,M,oui,Non,oui,non,non,interne,non,non,autre,médecin,non,non,3000-6000 MAD,non,littéraire,1,7.79,18.0,14.7,17.58,11.87,15.49,Privé,urbain,3,oui,oui,non,non,célibataire,urbain,non,Visuel,oui,جيد
322,17,M,oui,physique,non,oui,oui,interne,primaire,universitaire,enseignante,ouvrier,oui,oui,3000-6000 MAD,oui,scientifique,2,4.08,9.25,15.7,7.77,9.69,13.95,Public,rural,4,oui,oui,non,oui,marié,rural,non,Visuel,oui,مثعثر دراسيا
323,9,M,oui,physique,oui,non,non,interne,universitaire,primaire,enseignante,autre,non,non,< 3000 MAD,oui,littéraire,1,4.62,15.73,8.25,13.62,10.39,11.35,Privé,rural,6,oui,oui,oui,non,marié,rural,oui,Normal,non,مثعثر دراسيا
324,17,F,non,Non,oui,oui,oui,interne,universitaire,universitaire,ménagère,ouvrier,oui,oui,3000-6000 MAD,oui,littéraire,3,7.7,13.35,10.38,5.85,17.11,18.0,Privé,urbain,6,oui,oui,non,oui,marié,urbain,non,Normal,partiellement,مثعثر دراسيا
325,14,M,non,physique,oui,oui,non,interne,universitaire,primaire,enseignante,médecin,oui,non,< 3000 MAD,non,autre,3,6.94,16.39,14.59,14.95,8.98,9.22,Privé,rural,9,oui,oui,oui,oui,marié,rural,non,Auditif,non,جيد
326,16,M,non,Non,non,oui,oui,interne,secondaire,non,autre,autre,non,oui,> 6000 MAD,non,autre,1,4.45,5.57,11.88,14.51,9.78,6.37,Privé,rural,7,oui,oui,non,oui,célibataire,rural,non,Normal,oui,جيد
327,7,M,non,Non,non,oui,non,externe,universitaire,non,ménagère,autre,oui,oui,< 3000 MAD,oui,autre,2,5.14,17.37,6.04,9.37,12.02,16.08,Public,rural,1,oui,oui,non,non,marié,rural,oui,Auditif,oui,مثعثر دراسيا
328,6,F,oui,physique,oui,oui,oui,interne,universitaire,primaire,médecin,médecin,non,oui,> 6000 MAD,oui,autre,1,7.86,5.36,16.05,5.24,9.86,5.9,Public,rural,9,oui,oui,oui,non,marié,rural,non,Normal,partiellement,جيد
329,12,M,oui,physique,non,oui,non,interne,universitaire,non,enseignante,autre,non,oui,< 3000 MAD,non,scientifique,0,5.57,6.67,9.25,9.97,5.77,4.79,Public,urbain,2,oui,oui,non,oui,célibataire,urbain,oui,Kinesthésique,oui,مثعثر دراسيا
330,15,F,non,Non,oui,oui,non,externe,primaire,non,médecin,ouvrier,non,non,< 3000 MAD,oui,scientifique,2,5.6,10.14,10.36,4.91,16.84,14.4,Public,urbain,3,oui,oui,non,non,marié,urbain,non,Kinesthésique,non,جيد
331,13,F,oui,psychique,oui,non,oui,interne,non,secondaire,médecin,autre,non,oui,3000-6000 MAD,non,scientifique,3,7.61,10.2,11.49,12.66,14.76,9.82,Privé,rural,8,oui,oui,oui,oui,marié,rural,oui,Kinesthésique,non,انقطعت
332,7,M,oui,Non,non,oui,oui,externe,secondaire,secondaire,ménagère,médecin,non,oui,> 6000 MAD,non,littéraire,0,5.29,6.78,17.97,7.05,6.35,15.88,Public,urbain,8,oui,oui,non,oui,célibataire,urbain,non,Kinesthésique,non,مثعثر دراسيا
333,8,M,non,psychique,non,oui,oui,externe,universitaire,primaire,enseignante,enseignant,oui,non,3000-6000 MAD,oui,autre,2,4.95,17.12,6.15,13.86,18.0,13.99,Public,urbain,9,oui,oui,oui,non,marié,urbain,oui,Auditif,non,انقطعت
334,6,F,oui,psychique,non,oui,non,externe,secondaire,secondaire,ménagère,ouvrier,non,non,3000-6000 MAD,oui,littéraire,1,5.89,13.61,11.35,10.89,10.48,18.0,Privé,urbain,5,oui,oui,oui,oui,célibataire,urbain,non,Kinesthésique,oui,انقطعت
335,16,F,oui,Non,non,oui,non,externe,primaire,primaire,médecin,enseignant,non,non,> 6000 MAD,oui,scientifique,1,7.32,11.36,17.28,6.85,8.62,5.09,Public,urbain,10,oui,oui,non,oui,célibataire,urbain,oui,Kinesthésique,partiellement,مثعثر دراسيا
336,9,M,non,Non,non,non,oui,interne,secondaire,non,enseignante,autre,non,oui,< 3000 MAD,oui,littéraire,1,4.07,9.44,5.68,6.23,7.06,8.46,Privé,urbain,5,oui,oui,oui,non,marié,urbain,non,Kinesthésique,non,جيد
337,14,F,oui,Non,non,oui,non,interne,primaire,primaire,enseignante,médecin,oui,oui,3000-6000 MAD,oui,scientifique,1,3.45,14.8,8.7,14.13,7.32,17.68,Public,rural,10,oui,oui,oui,oui,célibataire,rural,non,Auditif,partiellement,جيد
338,10,M,oui,physique,non,oui,oui,interne,secondaire,primaire,enseignante,enseignant,oui,non,< 3000 MAD,non,scientifique,3,4.94,6.58,15.03,10.48,17.99,14.15,Privé,rural,10,oui,oui,oui,non,célibataire,rural,oui,Kinesthésique,partiellement,جيد
339,9,M,oui,psychique,oui,oui,non,interne,secondaire,secondaire,médecin,enseignant,oui,non,> 6000 MAD,oui,autre,0,8.0,7.51,10.29,18.0,17.6,17.87,Privé,urbain,10,oui,oui,non,non,célibataire,urbain,oui,Kinesthésique,non,مثعثر دراسيا
